"","SubmissionDate","starttime","endtime","enum","note_1","note_2","intro","audio","audio_consent","consent_text","consent","note_3","date_time","id","id_2","district","tracking","time_2","sex_q2_1","day_q2_2","age_q2_3","rel_q2_4","q2_4_oth","status_q2_5","q2_5_oth","note2_6","members_q2_6","child_q2_7","older_q2_8","younger_q2_9","q2_9err","born_q2_10","lc1_naba_vht_q2_11","q2_12err","discuss_q2_13","big_city_q2_14","kla_q2_14","vill16_q2_15","educ_q2_21","read_q2_22","read_q2_22b","lang_q2_23","q2_23_oth","other_lang_q2_24","q2_24err","q2_24_oth","tribe_q2_25","q2_25_oth","tribe1","uga_q2_22","uga_q2_22b","time_3","activity_q3_1","q3_1_oth","free_time_q3_2","q3_2err","convers_q3_3","q3_3err","time_4","news_q4_1","oly_q4_2","africa_cup_q4_3","watchTV_q4_1","mobile_q4_2","time_5","living_cond_q5_1","living_tribe_q5_2","living_tribe_q5_2b","cond_parents_q5_3","cond_children_q5_4","randomdraw1","hardwork_q5_5","hardwork_q5_6","religious_q5_7","religious_q5_8","willing_q5_9","willing_q5_10","time_6","new_ideas_q6_2a_c1","goals_q6_2","q6_2err","time_7","note7_1","achiever_q7_1","kneel_q7_3","woman_earns_q7_3","women_leaders_q7_5","time_8","note8","note_sec8","audio_sec8","note8_1","randomdraw2","action_q8_1a_1","action_q8_1b_1","action_q8_1b_2_1","action_q8_1c_1","action_q8_1d_1","action_q8_1d_2_1","action_q8_1a_2","action_q8_1b_2","action_q8_1b_2_2","action_q8_1c_2","action_q8_1d_2","action_q8_1d_2_2","action_q8_1a_3","action_q8_1b_3","action_q8_1b_2_3","action_q8_1c_3","action_q8_1d_3","action_q8_1d_2_3","action_q8_1a_4","action_q8_1b_4","action_q8_1b_2_4","action_q8_1c_4","action_q8_1d_4","action_q8_1d_2_4","note8_2","disobeys_q8_1a","disobeys_yes","disobeys_no","randomdraw3","chat_q8_1b","fin_pressure_q8_1c","no_housework_q8_1e","note8_3","disobeys_community_q8_2","housework_comm_q8_4","chat_community_q8_5","fin_press_comm_q8_6","react_q8_7","intervene_q8_9","note8_1f","time_9","note9_1","randomdraw4","citizens_q9_1a_1","citizens_q9_1a_2","randomdraw5","government_q9_1b_1","government_q9_1b_2","elders_q9_2","time_10","randomdraw6","note_10_1","time_11","robbed_police_q11_5","gov_resp_q11_2","time_12","time_13","religion_q14_1","q14_1_oth","religion_times_q14_2","pray_private_q14_4","time_14","killed_witch_q14_1","possible_kill_q14_1b","randomdraw9","time_15","randomdraw11","note15_1son","move_son_q15_3","move_daughter_q15_3","time_16","note16_1","note16_1_2","beaten_comm_q16_1","woman_beaten_q16_1b","report_q16_1c","q16_1err","report_q16_1c_oth","note16_2","once_week_q16_2","once_week_q16_2b","once_month_q16_2b","friends_fam_q16_3","note17","note17_1","dwelling_q16_1","q16_1_oth","note17_2","rooms_q16_2","walls_q16_5","q16_5_oth","floor_q16_6","q16_6_oth","light_q16_7","q16_7_oth","fuel_q16_8","q16_8_oth","time_18","note18_1","radio_q17_1","tv_q17_2","cellphone_q17_5","cellpone_internet_q17_5a","cellphone_battery_q17_5b","cellphone_unit_q17_5b_units","chair_q17_7","sofa_q17_8","motor_cycle_q17_15","time_19","films_q17_1","other_attend_q17_2","audio_sec19","note_sec19","content_q17_1b","q19_3err","content_q17_1b_oth","hear_q19_4","q19_4err","hear_q19_4_oth","note_sec19_2","time_20","person_q18_1","relationship_person_q18_2","q18_2_oth","q18_2berr","note18","followup_q18_3","note20","observe_conditions_q18_4","note20_2","note21","survey_language","survey_language_oth","comments","instanceID","formdef_version","KEY","tc_id"
"1","Oct 15, 2016 1:17:53 PM","Oct 15, 2016 1:11:48 PM","Oct 15, 2016 1:17:42 PM",1,NA,NA,NA,NA,1,NA,1,NA,"Oct 15, 2016 1:12:00 PM",12345678,12345678,1,1,"2016-Oct-15 13:13:10",1,2,18,4,NA,5,NA,NA,3,1,2,0,NA,2,"2 5 8",NA,3,NA,NA,2,4,4,NA,6,NA,"4 8",NA,NA,7,NA,"Japhadhola",4,NA,"2016-Oct-15 13:13:54",3,NA,"9 4",NA,"2",NA,"2016-Oct-15 13:13:58",2,3,2,4,4,"2016-Oct-15 13:14:04",2,2,NA,2,2,0.158108525824514,3,2,NA,NA,NA,NA,"2016-Oct-15 13:11:48",0,"3 5 6",NA,"2016-Oct-15 13:14:17",NA,2,NA,2,2,"2016-Oct-15 13:14:21",NA,NA,"media\AA_cb17add9-5005-4459-b1d0-326ca494cee1_note8_1.3gpp",NA,0.310050586109724,NA,NA,NA,NA,NA,NA,2,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.294727751112023,2,NA,NA,NA,2,NA,2,NA,1,2,NA,"2016-Oct-15 13:14:44",NA,0.345257018026232,2,NA,0.517221208858469,NA,2,2,"2016-Oct-15 13:14:48",0.787830602913318,NA,"2016-Oct-15 13:14:58",1,2,"2016-Oct-15 13:15:02","2016-Oct-15 13:15:29",3,NA,2,5,"2016-Oct-15 13:15:33",2,1,0.279784333439282,"2016-Oct-15 13:15:39",0.146971589345287,NA,1,NA,"2016-Oct-15 13:15:47",NA,NA,2,1,"2 3",NA,NA,NA,1,2,NA,1,NA,NA,2,NA,NA,2,8,NA,6,NA,4,NA,5,NA,"2016-Oct-15 13:16:18",NA,2,1,1,2,2,3,2,2,NA,"2016-Oct-15 13:16:29",3,3,"media\AA_cb17add9-5005-4459-b1d0-326ca494cee1_note_sec19.3gpp",NA,"5 2",NA,NA,NA,NA,NA,NA,"2016-Oct-15 13:16:38",1,5,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,"uuid:cb17add9-5005-4459-b1d0-326ca494cee1",1610141555,"uuid:cb17add9-5005-4459-b1d0-326ca494cee1",5
"2","Oct 15, 2016 1:26:13 PM","Oct 15, 2016 1:20:21 PM","Oct 15, 2016 1:25:58 PM",3,NA,NA,NA,NA,1,NA,1,NA,"Oct 15, 2016 1:20:00 PM",12121212,12121212,2,2,"2016-Oct-15 13:20:59",1,1,65,6,NA,4,NA,NA,6,3,2,3,NA,3,"3 9",NA,4,2,NA,2,4,3,NA,5,NA,"4 8",NA,NA,8,NA,"Kakwa",4,NA,"2016-Oct-15 13:21:49",4,NA,"3 5",NA,"2 4",NA,"2016-Oct-15 13:21:59",3,3,3,4,3,"2016-Oct-15 13:22:23",3,2,NA,1,3,0.784388211564358,NA,NA,NA,NA,1,3,"2016-Oct-15 13:20:21",1,"2 4 7",NA,"2016-Oct-15 13:22:40",NA,2,2,2,1,"2016-Oct-15 13:22:53",NA,NA,"media\AA_7d4075af-e3e5-421e-9678-157071adc114_note8_1.3gpp",NA,0.398175538371977,NA,NA,NA,NA,NA,NA,1,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0.262645207202101,2,NA,NA,NA,1,NA,2,NA,2,2,NA,"2016-Oct-15 13:23:22",NA,0.109306320373531,2,NA,0.00566704063140411,2,NA,2,"2016-Oct-15 13:23:27",0.375397518331493,NA,"2016-Oct-15 13:23:40",2,2,"2016-Oct-15 13:23:43","2016-Oct-15 13:24:14",5,NA,2,6,"2016-Oct-15 13:24:18",2,2,0.229318665536591,"2016-Oct-15 13:24:24",0.200827070108038,NA,1,NA,"2016-Oct-15 13:24:32",NA,NA,2,1,"1 3",NA,NA,NA,2,NA,2,2,NA,NA,4,"Hjg",NA,4,7,NA,6,NA,5,NA,7,NA,"2016-Oct-15 13:25:00",NA,2,2,NA,NA,NA,NA,1,2,2,"2016-Oct-15 13:25:07",2,3,"media\AA_7d4075af-e3e5-421e-9678-157071adc114_note_sec19.3gpp",NA,"1 2",NA,NA,NA,NA,NA,NA,"2016-Oct-15 13:25:14",NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,"uuid:7d4075af-e3e5-421e-9678-157071adc114",1610141555,"uuid:7d4075af-e3e5-421e-9678-157071adc114",23
"3","Oct 19, 2016 7:10:05 PM","Oct 19, 2016 9:18:59 AM","Oct 19, 2016 10:53:52 AM",34,NA,NA,NA,NA,1,NA,1,NA,"Oct 19, 2016 9:25:00 AM",41036311,41036311,4,1,"2016-Oct-19 09:27:35",2,2,20,2,NA,2,NA,NA,2,0,1,0,NA,0,"11",NA,3,2,2,2,12,NA,2,30,NA,"2",NA,NA,22,NA,"Munyarwanda",3,NA,"2016-Oct-19 09:31:51",1,NA,"1 9 10 8",NA,"1",NA,"2016-Oct-19 09:35:45",4,3,NA,6,4,"2016-Oct-19 09:37:25",3,3,NA,2,2,0.126816290889596,1,1,NA,NA,NA,NA,"2016-Oct-19 09:19:00",1,"1 2 6",NA,"2016-Oct-19 09:41:56",NA,2,2,2,1,"2016-Oct-19 09:43:37",NA,NA,"media\AA_0b7ded7a-5300-4728-8a57-7ee9c4da502b_note8_1.3gpp",NA,0.36278180053339,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,0.170226322628064,2,NA,NA,NA,1,NA,1,NA,1,1,NA,"2016-Oct-19 09:53:56",NA,0.954576236933293,NA,1,0.163150931518555,1,NA,2,"2016-Oct-19 09:55:26",0.802142358961118,NA,"2016-Oct-19 10:00:30",3,1,"2016-Oct-19 10:02:21","2016-Oct-19 10:14:51",9,NA,1,1,"2016-Oct-19 10:15:59",2,1,0.387782871679828,"2016-Oct-19 10:18:50",0.276257528695307,NA,1,NA,"2016-Oct-19 10:21:01",NA,NA,1,1,"4",NA,NA,NA,2,NA,3,2,NA,NA,1,NA,NA,2,5,NA,1,NA,6,NA,3,NA,"2016-Oct-19 10:25:15",NA,1,2,2,NA,NA,NA,1,2,2,"2016-Oct-19 10:25:54",8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-Oct-19 10:26:37",2,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,"uuid:0b7ded7a-5300-4728-8a57-7ee9c4da502b",1610190714,"uuid:0b7ded7a-5300-4728-8a57-7ee9c4da502b",71
"4","Oct 19, 2016 7:11:37 PM","Oct 19, 2016 12:01:17 PM","Oct 19, 2016 1:40:07 PM",34,NA,NA,NA,NA,2,NA,1,NA,"Oct 19, 2016 12:01:00 PM",41036341,41036341,4,1,"2016-Oct-19 12:02:59",2,2,32,2,NA,2,NA,NA,4,2,1,2,NA,3,"11",NA,3,1,1,2,19,NA,2,2,NA,"37",NA,NA,1,NA,"Muganda",1,NA,"2016-Oct-19 12:08:09",16,NA,"10 11 6 8",NA,"8",NA,"2016-Oct-19 12:11:12",4,NA,3,6,5,"2016-Oct-19 12:12:50",1,1,NA,1,NA,0.260682785382639,1,1,NA,NA,NA,NA,"2016-Oct-19 12:01:18",1,"2 4 5",NA,"2016-Oct-19 12:19:36",NA,2,2,1,2,"2016-Oct-19 12:21:50",NA,NA,NA,NA,0.130204510171351,2,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0.0451939365862651,2,NA,NA,NA,2,NA,2,NA,2,1,NA,"2016-Oct-19 12:27:05",NA,0.00795564660138004,1,NA,0.861206890802926,NA,1,1,"2016-Oct-19 12:30:00",0.354084109970435,NA,"2016-Oct-19 12:35:25",1,2,"2016-Oct-19 12:37:15","2016-Oct-19 12:45:36",9,NA,2,1,"2016-Oct-19 12:46:06",1,NA,0.998763122045781,"2016-Oct-19 12:49:08",0.225111647876944,NA,1,NA,"2016-Oct-19 12:51:37",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,3,5,NA,7,NA,5,NA,9,"Both charcoal and firewood","2016-Oct-19 12:55:38",NA,1,2,1,2,3,3,1,2,2,"2016-Oct-19 12:56:29",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-Oct-19 12:57:10",2,NA,NA,NA,NA,1,NA,6,NA,NA,NA,NA,NA,"uuid:5ca468ca-d23f-4e76-b5d0-df00c35e9b40",1610190714,"uuid:5ca468ca-d23f-4e76-b5d0-df00c35e9b40",75
"5","Oct 19, 2016 7:11:58 PM","Oct 19, 2016 4:07:02 PM","Oct 19, 2016 5:39:47 PM",34,NA,NA,NA,NA,1,NA,1,NA,"Oct 19, 2016 4:16:00 PM",41036201,41036201,4,1,"2016-Oct-19 16:17:26",2,3,22,2,NA,2,NA,NA,6,3,1,4,NA,1,"8",NA,3,2,1,2,5,2,NA,2,NA,"31",NA,NA,24,NA,"Munyoro",1,NA,"2016-Oct-19 16:23:04",7,NA,"1 5 11 6",NA,"1 2",NA,"2016-Oct-19 16:26:33",5,NA,2,5,5,"2016-Oct-19 16:29:09",2,1,NA,2,2,0.223526733310627,1,1,NA,NA,NA,NA,"2016-Oct-19 16:07:03",1,"4 5 6",NA,"2016-Oct-19 16:37:34",NA,2,2,2,1,"2016-Oct-19 16:39:20",NA,NA,"media\AA_2fabe632-4554-40a8-b75f-5aa6f79c9fb3_note8_1.3gpp",NA,0.89643855751108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,2,NA,NA,1,1,NA,0.298015945064158,2,NA,NA,NA,1,NA,1,NA,2,1,NA,"2016-Oct-19 16:47:36",NA,0.535439694975233,NA,2,0.367923457782048,2,NA,2,"2016-Oct-19 16:50:19",0.726308007888192,NA,"2016-Oct-19 16:55:44",1,1,"2016-Oct-19 16:58:23","2016-Oct-19 17:10:01",9,NA,2,1,"2016-Oct-19 17:10:52",1,NA,0.70430905193155,"2016-Oct-19 17:14:16",0.651305220409357,NA,NA,1,"2016-Oct-19 17:16:56",NA,NA,0,NA,NA,NA,NA,NA,2,NA,2,1,NA,NA,1,NA,NA,4,7,NA,7,NA,5,NA,2,NA,"2016-Oct-19 17:20:38",NA,1,1,1,2,3,3,1,2,1,"2016-Oct-19 17:21:29",7,NA,"media\AA_2fabe632-4554-40a8-b75f-5aa6f79c9fb3_note_sec19.3gpp",NA,NA,NA,NA,6,NA,"Fighting",NA,"2016-Oct-19 17:23:38",2,NA,NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,"uuid:2fabe632-4554-40a8-b75f-5aa6f79c9fb3",1610190714,"uuid:2fabe632-4554-40a8-b75f-5aa6f79c9fb3",75
"6","Oct 19, 2016 7:12:59 PM","Oct 19, 2016 10:16:51 AM","Oct 19, 2016 11:51:41 AM",19,NA,NA,NA,NA,1,NA,1,NA,"Oct 19, 2016 10:22:00 AM",41036111,41036111,4,1,"2016-Oct-19 10:24:08",1,2,43,1,NA,2,NA,NA,4,1,0,3,NA,6,"2",NA,4,1,1,2,3,2,NA,27,NA,"2",NA,NA,18,NA,"Mukiga",2,NA,"2016-Oct-19 10:34:37",1,NA,"1 9 11 8",NA,"5",NA,"2016-Oct-19 10:41:07",4,NA,NA,1,5,"2016-Oct-19 10:43:55",3,1,NA,1,1,0.154731997763303,3,1,NA,NA,NA,NA,"2016-Oct-19 10:16:51",1,"4 5 8",NA,"2016-Oct-19 10:53:15",NA,2,2,2,2,"2016-Oct-19 10:55:06",NA,NA,"media\AA_c3412f05-b541-442c-924d-016bd5022436_note8_1.3gpp",NA,0.204795326244659,2,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0.198920401159925,2,NA,NA,NA,2,NA,2,NA,1,1,NA,"2016-Oct-19 11:03:48",NA,0.551775327571905,NA,1,0.169503434881868,1,NA,1,"2016-Oct-19 11:06:58",0.795145604501379,NA,"2016-Oct-19 11:12:46",3,1,"2016-Oct-19 11:16:12","2016-Oct-19 11:29:58",2,NA,1,1,"2016-Oct-19 11:30:22",2,2,0.868112785928789,"2016-Oct-19 11:34:05",0.588528003991849,NA,NA,1,"2016-Oct-19 11:37:54",NA,NA,1,0,NA,NA,NA,NA,2,NA,1,1,NA,NA,2,NA,NA,2,7,NA,7,NA,5,NA,2,NA,"2016-Oct-19 11:45:26",NA,1,2,1,1,7,3,1,1,2,"2016-Oct-19 11:46:21",7,2,"media\AA_c3412f05-b541-442c-924d-016bd5022436_note_sec19.3gpp",NA,NA,NA,NA,7,NA,NA,NA,"2016-Oct-19 11:47:38",2,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,"uuid:c3412f05-b541-442c-924d-016bd5022436",1610190714,"uuid:c3412f05-b541-442c-924d-016bd5022436",75
"7","Oct 19, 2016 7:13:51 PM","Oct 19, 2016 9:26:12 AM","Oct 19, 2016 3:30:42 PM",30,NA,NA,NA,NA,2,NA,1,NA,"Oct 19, 2016 9:26:00 AM",41036031,41036031,4,1,"2016-Oct-19 09:28:35",2,1,25,2,NA,2,NA,NA,8,5,1,6,NA,2,"2",NA,3,1,1,2,8,NA,2,29,NA,"2",NA,NA,24,NA,"Munyoro",5,NA,"2016-Oct-19 09:35:02",12,NA,"10 5 11 8",NA,"1",NA,"2016-Oct-19 09:39:19",4,3,3,3,4,"2016-Oct-19 09:41:05",2,2,NA,2,1,0.725955276685203,NA,NA,NA,NA,1,1,"2016-Oct-19 09:26:12",1,"4 5 6",NA,"2016-Oct-19 09:46:44",NA,2,2,2,1,"2016-Oct-19 09:47:44",NA,NA,NA,NA,0.848651549989882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,2,NA,NA,2,NA,2,0.93599678353714,NA,NA,2,NA,2,2,NA,NA,1,1,NA,"2016-Oct-19 09:52:43",NA,0.105018237161142,2,NA,0.125254619733766,2,NA,1,"2016-Oct-19 09:54:14",0.550537472074935,NA,"2016-Oct-19 09:58:19",3,1,"2016-Oct-19 10:00:26","2016-Oct-19 10:08:09",3,NA,1,1,"2016-Oct-19 10:08:43",2,2,0.836430972021489,"2016-Oct-19 10:10:15",0.89780198909668,NA,NA,1,"2016-Oct-19 10:12:22",NA,NA,0,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,3,NA,NA,3,7,NA,7,NA,5,NA,2,NA,"2016-Oct-19 10:17:55",NA,1,1,1,2,2,3,1,1,2,"2016-Oct-19 10:18:46",8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-Oct-19 10:20:09",2,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,"uuid:f1ca24f3-f411-45e1-9e30-894505af1cb9",1610190714,"uuid:f1ca24f3-f411-45e1-9e30-894505af1cb9",75
"8","Oct 19, 2016 7:14:26 PM","Oct 19, 2016 2:15:24 PM","Oct 19, 2016 3:27:42 PM",30,NA,NA,NA,NA,1,NA,1,NA,"Oct 19, 2016 2:15:00 PM",41036121,41036121,4,1,"2016-Oct-19 14:18:32",2,1,26,1,NA,2,NA,NA,3,2,0,2,NA,2,"2",NA,3,1,1,2,19,NA,2,2,NA,"37",NA,NA,24,NA,"Munyoro",3,NA,"2016-Oct-19 14:23:26",15,"Treating patients at her clinic","1 9 10 6",NA,"1",NA,"2016-Oct-19 14:29:10",5,2,3,6,5,"2016-Oct-19 14:30:48",3,3,NA,2,2,0.401434672258117,NA,NA,2,1,NA,NA,"2016-Oct-19 14:15:24",0,"5 6 8",NA,"2016-Oct-19 14:36:33",NA,2,2,1,1,"2016-Oct-19 14:37:31",NA,NA,"media\AA_c7729aac-ce40-47e6-b2d8-0ce0c122f1e7_note8_1.3gpp",NA,0.0402827179458448,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0.959379819847509,NA,NA,2,NA,1,1,NA,NA,1,1,NA,"2016-Oct-19 14:43:32",NA,0.291719785856429,1,NA,0.697853252421614,NA,1,1,"2016-Oct-19 14:44:55",0.49788519365551,NA,"2016-Oct-19 14:48:22",1,2,"2016-Oct-19 14:50:03","2016-Oct-19 15:03:10",3,NA,0,9,"2016-Oct-19 15:04:17",1,NA,0.419860131877288,"2016-Oct-19 15:05:38",0.89466712575034,NA,NA,1,"2016-Oct-19 15:07:20",NA,NA,1,1,"4",NA,NA,NA,2,NA,1,1,NA,NA,3,NA,NA,2,7,NA,7,NA,5,NA,2,NA,"2016-Oct-19 15:12:01",NA,1,2,1,1,4,3,1,2,2,"2016-Oct-19 15:12:44",7,4,"media\AA_c7729aac-ce40-47e6-b2d8-0ce0c122f1e7_note_sec19.3gpp",NA,NA,NA,NA,7,NA,NA,NA,"2016-Oct-19 15:14:37",2,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,"uuid:c7729aac-ce40-47e6-b2d8-0ce0c122f1e7",1610190714,"uuid:c7729aac-ce40-47e6-b2d8-0ce0c122f1e7",75
"9","Oct 19, 2016 7:14:43 PM","Oct 19, 2016 10:12:21 AM","Oct 19, 2016 12:08:57 PM",38,NA,NA,NA,NA,1,NA,1,NA,"Oct 19, 2016 10:26:00 AM",41036391,41036391,4,2,"2016-Oct-19 10:35:19",1,2,43,1,NA,2,NA,NA,9,7,0,8,NA,14,"1 9",NA,2,1,1,2,7,2,NA,2,NA,"29",NA,NA,1,NA,"Muganda",1,NA,"2016-Oct-19 10:44:02",1,NA,"1 9 6 8",NA,"5",NA,"2016-Oct-19 10:49:55",5,NA,1,2,5,"2016-Oct-19 10:54:03",2,1,NA,1,2,0.281287312902381,3,1,NA,NA,NA,NA,"2016-Oct-19 10:12:21",1,"4 5 6",NA,"2016-Oct-19 11:04:43",NA,1,2,1,2,"2016-Oct-19 11:07:15",NA,NA,NA,NA,0.929743716852969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,2,NA,NA,2,NA,2,0.52233936735055,NA,2,NA,NA,2,NA,NA,2,1,1,NA,"2016-Oct-19 11:17:17",NA,0.898480621016416,NA,2,0.357506272409463,1,NA,1,"2016-Oct-19 11:20:21",0.97222497232792,NA,"2016-Oct-19 11:29:23",2,1,"2016-Oct-19 11:33:31","2016-Oct-19 11:49:26",3,NA,1,1,"2016-Oct-19 11:50:11",2,2,0.871729599919936,"2016-Oct-19 11:54:04",0.673074766216357,NA,NA,1,"2016-Oct-19 11:57:26",NA,NA,0,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,1,NA,NA,2,3,NA,7,NA,5,NA,2,NA,"2016-Oct-19 12:02:49",NA,1,2,1,NA,4,3,2,2,1,"2016-Oct-19 12:03:35",8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-Oct-19 12:04:37",2,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,"uuid:fb6da6ab-d0f1-47b5-b632-e59652a467d5",1610190714,"uuid:fb6da6ab-d0f1-47b5-b632-e59652a467d5",71
"10","Oct 19, 2016 7:15:06 PM","Oct 19, 2016 3:51:05 PM","Oct 19, 2016 5:01:45 PM",30,NA,NA,NA,NA,1,NA,1,NA,"Oct 19, 2016 3:51:00 PM",41036191,41036191,4,1,"2016-Oct-19 15:52:12",2,1,34,2,NA,1,NA,NA,6,4,1,4,NA,4,"11",NA,2,1,1,1,6,2,NA,2,NA,"37",NA,NA,1,NA,"Muganda",3,NA,"2016-Oct-19 15:56:53",1,NA,"1 11 6 8",NA,"5 1 2 4 7",NA,"2016-Oct-19 16:00:02",4,3,3,1,5,"2016-Oct-19 16:01:52",1,1,NA,2,2,0.492011569694849,NA,NA,1,1,NA,NA,"2016-Oct-19 15:51:06",1,"6 7 8",NA,"2016-Oct-19 16:08:39",NA,2,2,2,1,"2016-Oct-19 16:10:03",NA,NA,"media\AA_b4123ca8-a991-4808-a36e-1431d57c6c9b_note8_1.3gpp",NA,0.875937760699861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,1,NA,NA,2,NA,2,0.239850296689241,2,NA,NA,NA,2,NA,2,NA,1,1,NA,"2016-Oct-19 16:16:05",NA,0.0132106856667964,1,NA,0.129034729316527,1,NA,2,"2016-Oct-19 16:18:09",0.845963824578493,NA,"2016-Oct-19 16:23:33",2,2,"2016-Oct-19 16:25:55","2016-Oct-19 16:35:47",5,NA,3,1,"2016-Oct-19 16:36:40",2,1,0.689502143535516,"2016-Oct-19 16:38:39",0.514740486704474,NA,NA,1,"2016-Oct-19 16:42:33",NA,NA,0,NA,NA,NA,NA,NA,2,NA,3,1,NA,NA,1,NA,NA,2,7,NA,7,NA,5,NA,3,NA,"2016-Oct-19 16:48:45",NA,2,2,1,2,5,3,1,2,1,"2016-Oct-19 16:49:35",7,4,"media\AA_b4123ca8-a991-4808-a36e-1431d57c6c9b_note_sec19.3gpp",NA,NA,NA,NA,7,NA,NA,NA,"2016-Oct-19 16:51:09",2,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,"uuid:b4123ca8-a991-4808-a36e-1431d57c6c9b",1610190714,"uuid:b4123ca8-a991-4808-a36e-1431d57c6c9b",75
