"KEY","dist_to_video_hall"
"uuid:bbe384be-b846-42cf-8d2e-06f78b88895c",22
"uuid:e073b0e3-0b5b-484d-bb5b-5804805411da",121
"uuid:7ae5b7be-ebd4-4a68-aeb7-ea440d6ef9de",229
"uuid:de8c1199-3144-4ec2-9e38-6f77d3065665",120
"uuid:be330d48-7421-4d56-b93b-0a884457bd15",125
"uuid:43fc8b09-89e0-41d7-a740-c91fb159c857",97
"uuid:a5da6f6e-7feb-4e7f-93ae-3922821ff897",265
"uuid:c8cdfd8a-e9bc-415e-9802-1d9239a476b0",53
"uuid:ba5fbd67-06df-432b-a5dd-472a0381b14f",160
"uuid:afdfa7c0-9229-42e6-9eb4-d2f0487ccddb",143
"uuid:38295e88-9248-4cd1-9b5e-4fbaec4fcae2",52
"uuid:20540848-e090-4156-a9a1-3e04d7b62974",15
"uuid:0dc682f4-a402-4427-960f-364f5060fff0",27973
"uuid:9aece482-45df-4f0b-a072-b094cadb66b9",226
"uuid:61662684-5971-487e-92eb-eec6c5efaefa",32
"uuid:f8271f07-e5aa-44b6-b63b-a8cca938ddbf",195
"uuid:35c49077-30cd-472e-a839-11a72598721c",105
"uuid:528d7d0f-9ca8-4c81-a9e4-d23aeca60f9e",16
"uuid:0139287a-7c8f-42e0-8fbf-5814d8f2b88c",87
"uuid:61e57903-3b54-4978-a321-592d30bf85a8",108
"uuid:97af6e07-30ab-49e7-860e-bc9d21d3471a",56
"uuid:121a0a58-d35f-433b-8559-90cf26f75324",42
"uuid:8054cb42-6d74-4c69-88af-78f8d148dc1a",2
"uuid:6268ef13-4986-4171-8fc3-6f37e5cb8194",145
"uuid:b3660025-cad4-471c-82f1-ee5fafd5b828",115
"uuid:c9370e07-9a99-4b4a-8b3c-a5b0981c0969",51
"uuid:e569dd67-d899-41f7-b00d-b3cc1d69b5d2",50
"uuid:2f1eb681-7253-442a-a1e8-06ccabac1a5e",349
"uuid:67665eae-ca2b-4e81-aaa7-e154db6ea2d9",941
"uuid:3dfe5de3-3448-4095-be6d-7d806db8dd63",184
"uuid:d4da6618-689c-4c69-be8b-ea219de2fa91",147
"uuid:e72d5d29-ecb9-42e1-8e0b-3e872adc529c",193
"uuid:a10f4c19-a204-4213-aaf3-39be15242f27",297
"uuid:65f748d0-26ae-419a-9420-5eb7981c092a",43
"uuid:512252a5-9f8c-4c35-9724-6e4ce2ae27af",934
"uuid:18200b6d-2c6a-41d3-b0a2-2204fcf85242",516
"uuid:f8dcbea0-0be3-4011-9d04-24d25ed2846a",110
"uuid:e7ead867-40af-49de-a5e6-f87fbbb1e185",115
"uuid:4ee86353-1717-46e6-90d6-89002b7f7a6a",87
"uuid:29830361-837c-4e3d-9a96-045751c774d0",161
"uuid:36c5fa14-b197-4a44-8d3a-1eeca0fcc590",10820
"uuid:30842ddd-c754-4ed1-8451-069a628fdb85",143
"uuid:eb0bb3c3-2f55-4c5b-86e0-11b33e0fec4c",416
"uuid:d815c281-6ce7-4394-99e4-269c4430a3bf",106
"uuid:eac67402-098a-4160-b51f-e6d2753fa7d0",120
"uuid:08653dbb-ba35-4060-aadd-7453a63ff733",4854
"uuid:1a9a1e68-c74d-4443-bd00-fbb928b3b7a7",27
"uuid:892f7bc6-d58b-4abd-bf31-620cc81a1cfc",399
"uuid:0df77254-9539-4a85-a314-2546aca3e76d",96
"uuid:67e8706e-8fff-4743-ba69-f54f6b76c3c4",161157
"uuid:ad4ed91c-8629-47b1-bea9-81dab421603e",161157
"uuid:5c27c34d-2197-4446-80bb-310ca6b6bb0f",161157
"uuid:3645e781-5355-47bc-9c32-583afd198e4a",185
"uuid:6813efa0-b169-4390-aa6d-d746c2b72cdc",54
"uuid:52694e71-bc92-4e41-964c-e822a397304f",531
"uuid:4d6df1c7-3603-47c0-98b0-3278f8f0cfc9",1729
"uuid:c90dd2d6-a3ce-41f1-ba4f-65e0b0c4860e",88
"uuid:2a36d515-e40e-4965-a414-cc55490106a4",30
"uuid:a51bf766-3fb4-4b7b-8a41-6892639074e0",136
"uuid:a7ec6b77-0a89-4049-94ed-cf3a10bb3b4d",4236
"uuid:ee50f832-2bc8-445b-9ee8-dbd7f61347bb",42
"uuid:81978b8f-e237-4954-b405-55cea127361b",195
"uuid:ca91b8f8-2de1-411b-bcd7-a22443cd68af",186
"uuid:8e4e89b9-95b0-4406-98c1-03d03b9253c3",129
"uuid:be193f60-22fb-41f6-8997-ead0287f628b",107
"uuid:20d90790-e425-40de-aa5e-2dd5e6edf9d1",774
"uuid:627e651e-b71a-4bfe-ba5b-1f51e68d6423",34
"uuid:0aba7a68-b22e-4df0-8edc-6b10c3cf5bf0",161157
"uuid:377f254e-c31f-4925-977b-feb7d84f53d2",265
"uuid:dd7f76bb-c28f-41f8-a070-29fbd3160ebb",74
"uuid:4997e9e5-f3ab-4e56-a552-06389e69ffb5",270
"uuid:b9dc5b11-e116-43be-b5fa-3eb4f437b232",72
"uuid:a1aff900-a7ef-405f-9ca1-1434983a3669",78
"uuid:035d3941-e69c-42b0-8004-604e2451fab1",78
"uuid:f522b5d3-304a-4cfa-8e38-720f349c3a69",88
"uuid:fbee513d-842d-4b1c-996e-84881559a451",148
"uuid:a1cb2afb-56c4-4d16-9230-bd1b7b193851",199
"uuid:fbe0ee2a-0a1d-4928-9bd8-4467b7678746",124
"uuid:6e3f22d4-5e53-495b-b58c-ffbaa1a293b4",101
"uuid:9fbe3ae8-7c57-49d4-aa1a-222ed1876877",195
"uuid:0d66d39f-8806-4d4b-86ef-1913b1acb18c",67
"uuid:a0d836de-57fd-4810-8eba-cfd8e552c347",73
"uuid:863fcdfe-fa76-499f-ab6f-aa76efa5cf6a",225
"uuid:9fded338-1b42-4d62-89bb-10f6cddbc019",73
"uuid:d7a68f9b-e179-4b8e-a73c-600e97af06f3",128
"uuid:a3bbaf7d-1592-46e9-aa15-a11f7369af33",82
"uuid:a4041901-b83c-4704-a939-c3b71ff55512",132
"uuid:92919af5-13fe-462f-a7e9-f05fc540ed65",84
"uuid:49de5511-b55b-45d8-a18a-4e6910526151",267
"uuid:c7ba1599-53f2-467e-871a-1d5ff359d8da",118
"uuid:af4a9ed9-7dc4-40a9-ab09-cd9b4c08d9a8",69
"uuid:0ef52537-f60e-489f-994b-6b77eca06380",94
"uuid:331cab1a-b854-4216-a227-eb08b626522a",174
"uuid:e960b2aa-aff9-46cc-b1b2-93ad7642594f",67
"uuid:dfd6aced-4374-4fc0-8526-d5f8460d38ea",197
"uuid:086133b1-8fd8-4246-8dd9-5e5d708e3531",131
"uuid:0ed65963-ed9b-4e5d-9ddd-31c576381dcf",262
"uuid:a7c5e36f-c15e-41eb-b21e-cbd5df9a6320",850
"uuid:82ce6cf1-690a-4254-a848-4a6f3a719ad7",289
